Región,Año,Migración,Edad,Género,Salario Promedio,Tasa de Desempleo
Sur,2022,502,37,Masculino,1376.63,9.30
Norte,2022,737,21,Femenino,2245.65,7.20
Sur,2017,229,54,Masculino,4918.04,9.00
Sur,2015,152,35,Masculino,1701.32,13.90
Norte,2022,783,60,Femenino,1068.64,6.50
Norte,2017,829,55,Masculino,4053.46,10.10
Sur,2017,771,52,Femenino,4227.65,7.30
Centro,2015,809,23,Masculino,2385.22,10.80
Sur,2019,515,52,Femenino,2858.7,13.60
Sur,2024,346,33,Femenino,3599.09,13.80
Sur,2021,935,40,Femenino,1192.24,7.40
Sur,2024,538,39,Femenino,4796.58,14.10
Norte,2023,302,27,Masculino,4546.72,10.90
Sur,2021,283,26,Femenino,2043.57,8.50
Centro,2023,222,22,Femenino,1061.22,12.10
Norte,2022,500,36,Femenino,4733.75,9.80
Centro,2016,866,52,Masculino,3004.16,8.80
Centro,2015,393,31,Femenino,3157.51,12.10
Centro,2021,379,41,Masculino,3735.86,7.50
Centro,2021,936,41,Femenino,3463.4,8.30
Norte,2022,983,49,Masculino,4775.57,9.30
Norte,2019,709,57,Masculino,4777.01,7.50
Centro,2017,297,57,Femenino,4468.8,9.10
Centro,2022,610,64,Masculino,3545.61,10.70
Norte,2020,851,27,Femenino,4203.8,12.40
Norte,2017,243,46,Femenino,3708.67,12.70
Norte,2015,708,46,Femenino,3293.47,13.20
Sur,2017,300,53,Masculino,1514,12.40
Sur,2019,223,40,Masculino,4244.82,11.80
Sur,2017,286,49,Femenino,4282.56,7.40
Centro,2015,425,52,Femenino,3503.76,9.00
Sur,2019,563,47,Masculino,4281.71,9.80
Centro,2024,448,52,Femenino,3605.94,5.80
Centro,2021,870,24,Femenino,1826.74,10.30
Sur,2021,759,38,Femenino,2095.84,9.40
Centro,2023,863,23,Masculino,1858.36,13.00
Sur,2024,502,54,Masculino,2509.04,14.80
Sur,2024,445,36,Masculino,1155.85,10.60
Norte,2017,610,63,Femenino,3473.02,8.20
Sur,2021,246,47,Femenino,2346.22,5.40
Norte,2015,247,49,Femenino,3622.89,14.20
Sur,2018,963,48,Masculino,2541.59,14.20
Sur,2018,810,25,Femenino,3726.45,7.50
Norte,2019,919,54,Femenino,2362.5,12.00
Norte,2021,588,60,Femenino,2042.78,5.80
Sur,2021,739,56,Femenino,2984.15,6.70
Centro,2018,650,43,Masculino,3771.56,7.20
Norte,2021,437,48,Masculino,2393.35,7.90
Centro,2017,971,50,Femenino,4746.59,15.00
Centro,2020,740,54,Masculino,1156.75,12.00
Centro,2016,878,52,Masculino,2671.78,8.80
Norte,2024,572,40,Femenino,4870.32,12.40
Centro,2023,250,51,Femenino,3191.89,14.20
Norte,2019,514,42,Masculino,2693.88,14.60
Centro,2020,397,52,Femenino,3274.08,5.60
Sur,2018,710,22,Masculino,3303.7,8.90
Sur,2024,362,37,Femenino,3926.59,6.10
Norte,2021,863,44,Masculino,1510.76,8.40
Sur,2023,243,61,Femenino,2000.07,6.70
Sur,2021,445,50,Masculino,3322.18,11.50
Centro,2015,723,22,Masculino,4468.47,8.90
Norte,2015,671,59,Masculino,3247.47,7.30
Centro,2023,980,43,Femenino,1954.39,7.70
Centro,2023,101,51,Masculino,3719.38,8.60
Centro,2018,996,41,Masculino,3959.64,7.60
Centro,2023,403,42,Femenino,1952.94,9.50
Centro,2017,353,21,Femenino,2510.92,5.30
Centro,2021,751,46,Masculino,3137.31,7.80
Centro,2020,552,61,Masculino,2986.24,9.10
Norte,2022,136,21,Femenino,2558.47,11.00
Sur,2023,259,45,Femenino,2190.54,7.70
Centro,2019,108,36,Femenino,1399.94,6.30
Centro,2015,332,59,Femenino,1213.94,5.80
Centro,2017,198,52,Femenino,4834.17,14.40
Centro,2024,758,28,Masculino,4388.57,9.20
Centro,2022,915,62,Femenino,2419.62,10.80
Centro,2020,307,58,Masculino,4827.2,14.20
Sur,2022,230,48,Masculino,3707.08,5.80
Sur,2023,503,61,Masculino,2930.08,13.80
Centro,2018,251,45,Femenino,2972.1,10.50
Sur,2015,153,54,Masculino,1333.14,6.60
Norte,2015,219,44,Masculino,1366.82,9.10
Centro,2024,772,43,Femenino,3409.76,12.80
Norte,2018,727,32,Masculino,3214.81,9.80
Norte,2021,686,26,Masculino,1850.91,14.90
Centro,2016,724,55,Femenino,4784.78,8.80
Sur,2017,519,64,Masculino,4125.18,12.50
Norte,2015,521,39,Masculino,1453.86,8.90
Centro,2019,203,20,Masculino,4723.72,13.30
Norte,2015,951,27,Femenino,4896.99,10.70
Norte,2022,353,35,Femenino,4983.72,5.60
Norte,2015,326,33,Femenino,1223.48,5.40
Norte,2015,211,31,Masculino,3948.14,6.30
Sur,2016,609,42,Masculino,3183.66,5.10
Norte,2016,572,34,Femenino,3823.33,5.80
Norte,2020,198,47,Masculino,4874.61,11.90
Norte,2021,252,53,Masculino,3752.12,10.30
Sur,2019,960,21,Femenino,4347.86,12.50
Norte,2015,995,51,Femenino,4467.47,14.10
Norte,2015,977,42,Masculino,4353.92,10.90
